doc_id	target	segment	causality1	causality2	causality3	causality4	polarity	primary	expense_polarity	importance	tag1	tag2	tag3	tag4	tag5	note
00000001	0															
00000001	0															
00000001	0															
00000001	0															
00000001	0															
00000001	0															
00000001	0															
00000001	0															
00000001	0															
00000001	0															
00000001	0															
00000001	1										小見出し	情勢				
00000001	1										情勢					
00000001	1										情勢					
00000001	1										情勢					
00000001	1										情勢					
00000001	1										情勢					
00000001	1										情勢					
00000001	1										情勢					
00000001	1										情勢					
00000001	1										情勢					
00000001	1										情勢					
00000001	1		明示的な業績要因	明示的な業績要因	明示的な業績要因	明示的な業績要因	++			1	定量					
00000001	1		明示的な業績要因	明示的な業績要因	明示的な業績要因	明示的な業績要因	++			1	定量					
00000001	1		業績	業績	業績	業績	++									
00000001	1		業績	業績	業績	業績	++				複数					
00000001	1										会計	注記				
00000001	1	2														
00000001	1	1	暗黙的な業績要因	暗黙的な業績要因	暗黙的な業績要因	暗黙的な業績要因	-				小見出し	反転	定量			
00000001	1	1	明示的な業績要因	明示的な業績要因	明示的な業績要因	明示的な業績要因	++			1	定量					
00000001	1	1	業績	業績	業績	業績	++									
00000001	1	1	業績	業績	業績	業績	--				会計					
00000001	1	1							+		株式					句点 取得は当期以降?
00000001	1	1														ESG?
00000001	1	1														ESG?
00000001	1	2	暗黙的な業績要因	暗黙的な業績要因	暗黙的な業績要因	暗黙的な業績要因	-				小見出し					
00000001	1	2	暗黙的な業績要因	暗黙的な業績要因	暗黙的な業績要因	暗黙的な業績要因	+									
00000001	1	2	暗黙的な業績要因	暗黙的な業績要因	暗黙的な業績要因	暗黙的な業績要因	+				資産					
00000001	1	2	業績	業績	業績	業績	++				複数					
00000001	1	2	明示的な業績要因	明示的な業績要因	明示的な業績要因	明示的な業績要因	+				小見出し					
00000001	1	2	明示的な業績要因	明示的な業績要因	明示的な業績要因	明示的な業績要因	+				反転	回復				
00000001	1	2														
00000001	1	2	明示的な業績要因	明示的な業績要因	明示的な業績要因	明示的な業績要因	+		-		反転					ややこしい
00000001	1	2	業績	業績	業績	業績	++				複数					
00000001	1	2									小見出し	反転	参考			
00000001	1	2							-		因果不明					
00000001	1	2									株式					資金調達
00000001	1	2														
00000001	1	2	業績	業績	業績	業績	--	営業利益			複数					
00000001	1	2									会計	注記				
00000001	0															財政状態
00000001	0															財政状態
00000001	0															財政状態
00000001	0															財政状態
00000001	0															財政状態
00000001	0															
00000001	0															
00000001	0															
00000001	0															
00000001	0															
00000001	0															
00000001	0															
doc_id	target	segment	causality1	causality2	causality3	causality4	polarity	primary	expense_polarity	importance	tag1	tag2	tag3	tag4	tag5	note
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	1		暗黙的な業績要因	暗黙的な業績要因	暗黙的な業績要因	暗黙的な業績要因	+				小見出し	回復				
00000002	1		暗黙的な業績要因	暗黙的な業績要因	暗黙的な業績要因	暗黙的な業績要因	+		-		反転					価格が上がる方が儲かる
00000002	1		暗黙的な業績要因	暗黙的な業績要因	暗黙的な業績要因	暗黙的な業績要因	+				定量					
00000002	1		明示的な業績要因	明示的な業績要因	明示的な業績要因	明示的な業績要因	++			1	小見出し	定量				原油価格の上昇はコスト増ではない
00000002	1		明示的な業績要因	明示的な業績要因	明示的な業績要因	明示的な業績要因	++			1	定量					原油価格の上昇はコスト増ではない
00000002	1		明示的な業績要因	明示的な業績要因	明示的な業績要因	明示的な業績要因	++			1	株式	定量				
00000002	1		業績	業績	業績	業績	++									
00000002	1		明示的な業績要因	明示的な業績要因	明示的な業績要因	明示的な業績要因	++			?	資産	定量				
00000002	1		明示的な業績要因	明示的な業績要因	明示的な業績要因	明示的な業績要因	--		++	?	定量					
00000002	1		業績	業績	業績	業績	++									
00000002	1	2														
00000002	1	2									会計	注記				
00000002	1	1	明示的な業績要因	明示的な業績要因	明示的な業績要因	明示的な業績要因	++				ノイズ	小見出し	定量			
00000002	1	1	明示的な業績要因	明示的な業績要因	明示的な業績要因	明示的な業績要因	++				株式	定量				
00000002	1	2	明示的な業績要因	明示的な業績要因	明示的な業績要因	明示的な業績要因	++				小見出し	定量				
00000002	1	2	明示的な業績要因	明示的な業績要因	明示的な業績要因	明示的な業績要因	++				定量					
00000002	1	2	明示的な業績要因	明示的な業績要因	明示的な業績要因	明示的な業績要因	++				小見出し	複数	定量			
00000002	1	2	業績	業績	業績	業績	-				小見出し					
00000002	1	2	明示的な業績要因	明示的な業績要因	明示的な業績要因	明示的な業績要因	--		+		定量					
00000002	1	2	明示的な業績要因	明示的な業績要因	明示的な業績要因	明示的な業績要因	++				小見出し	複数	定量			
00000002	1	2	明示的な業績要因	明示的な業績要因	明示的な業績要因	明示的な業績要因	++				小見出し	複数	定量			
00000002	1	2	業績	業績	業績	業績	++				複数					
00000002	1	2	業績	業績	業績	業績	++	売上高			小見出し	複数				
00000002	0															財政状態
00000002	0															財政状態
00000002	0															財政状態
00000002	0															財政状態
00000002	0															財政状態
00000002	0															財政状態
00000002	0															財政状態
00000002	0															財政状態
00000002	0															財政状態
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
00000002	0															
doc_id	target	segment	causality1	causality2	causality3	causality4	polarity	primary	expense_polarity	importance	tag1	tag2	tag3	tag4	tag5	note
00000003	0															
00000003	0															
00000003	0															
00000003	0															
00000003	0															
00000003	0															
00000003	0															
00000003	0															
00000003	0															
00000003	1		業績	業績	業績	業績	++				小見出し	複数				
00000003	1			業績							会計	注記				
00000003	1	2														
00000003	1	2									会計	注記				
